Date,Product,Quantity,Revenue
1/1/2022,Shoes,10,1000
1/1/2022,Bags,5,500
1/1/2022,Electronics,,300
2/1/2022,Shoes,8,800
2/1/2022,Bags,3,300
2/1/2022,Electronics,4,600
3/1/2022,Shoes,12,1200
3/1/2022,Bags,6,600
3/1/2022,Electronics,,450
4/1/2022,Shoes,15,1500
4/1/2022,Bags,9,900
4/1/2022,Electronics,5,750
5/1/2022,Shoes,20,2000
5/1/2022,Bags,10,1000
5/1/2022,Electronics,4,600
6/1/2022,Shoes,7,700
6/1/2022,Bags,,400
6/1/2022,Electronics,2,300
7/1/2022,Shoes,14,1400
7/1/2022,Bags,8,800
7/1/2022,Electronics,6,900
8/1/2022,Shoes,11,1100
8/1/2022,Bags,7,700
8/1/2022,Electronics,3,450
9/1/2022,Shoes,16,1600
9/1/2022,Bags,9,900
9/1/2022,Electronics,4,600
9/2/2022,Shoes,12,1200
9/3/2022,Bags,6,600
9/4/2022,Electronics,2,300
9/5/2022,Shoes,9,900
9/6/2022,Bags,4,400
9/7/2022,Electronics,3,450
9/8/2022,Electronics,13,1300
9/9/2022,Bags,7,700
1/1/2023,Electronics,5,750
1/1/2023,Shoes,18,750
1/1/2023,Bags,10,1000
1/1/2023,Shoes,,1000
2/1/2023,Shoes,15,1500
2/1/2023,Shoes,8,800
2/1/2023,Electronics,6,900
3/1/2023,Shoes,11,1100
3/1/2023,Bags,,500
3/1/2023,Electronics,3,450
4/1/2023,Shoes,14,1400
4/1/2023,Bags,7,700
4/1/2023,Bags,4,600
5/1/2023,Shoes,,1900
5/1/2023,Bags,11,1100
5/1/2023,Electronics,5,750
6/1/2023,Shoes,16,1600
6/1/2023,Bags,,900
6/1/2023,Bags,2,300
7/1/2023,Shoes,,1300
7/1/2023,Bags,6,600
7/1/2023,Electronics,3,450
8/1/2023,Shoes,17,1700
8/1/2023,Bags,10,1000
8/1/2023,Electronics,6,900
9/1/2023,Shoes,14,1400
9/1/2023,Bags,7,700
9/1/2023,Electronics,4,600
9/2/2023,Shoes,20,2000
9/3/2023,Bags,,1200
9/4/2023,Electronics,5,750
9/5/2023,Shoes,15,1500
9/6/2023,Bags,8,800
9/7/2023,Electronics,3,450
9/8/2023,Shoes,12,1200
9/9/2023,Bags,,600
5/1/2023,Electronics,2,300
